experiment,pitch_type,outcome,eval_age,rate_mean,rate_sd,hdi_lo,hdi_hi
base,CH,mean_pfx_x,24,-0.0167,0.00496,-0.0264,-0.0066
base,CH,mean_pfx_x,28,-0.0129,0.00465,-0.022,-0.0033
base,CH,mean_pfx_x,32,-0.0091,0.00468,-0.0186,0.0003
base,CH,mean_pfx_x,36,-0.0052,0.00506,-0.0148,0.0055
base,FF,mean_pfx_x,24,-0.008,0.00336,-0.0146,-0.0015
base,FF,mean_pfx_x,28,-0.0072,0.00298,-0.0132,-0.0013
base,FF,mean_pfx_x,32,-0.0064,0.00302,-0.0122,-0.0003
base,FF,mean_pfx_x,36,-0.0056,0.00345,-0.0123,0.0012
base,SL,mean_pfx_x,24,-0.0074,0.00411,-0.0151,0.0007
base,SL,mean_pfx_x,28,-0.0042,0.00365,-0.0112,0.0029
base,SL,mean_pfx_x,32,-0.0009,0.00368,-0.0079,0.0064
base,SL,mean_pfx_x,36,0.0024,0.00418,-0.0057,0.0107
base,CH,mean_pfx_x_norm,24,-0.0065,0.00302,-0.0121,-0.0002
base,CH,mean_pfx_x_norm,28,-0.0014,0.00233,-0.0061,0.0031
base,CH,mean_pfx_x_norm,32,0.0036,0.00228,-0.0009,0.0081
base,CH,mean_pfx_x_norm,36,0.0087,0.0029,0.003,0.0143
base,FC,mean_pfx_x_norm,24,-0.0071,0.00208,-0.0115,-0.0033
base,FC,mean_pfx_x_norm,28,-0.0071,0.00208,-0.0115,-0.0033
base,FC,mean_pfx_x_norm,32,-0.0071,0.00208,-0.0115,-0.0033
base,FC,mean_pfx_x_norm,36,-0.0071,0.00208,-0.0115,-0.0033
base,CH,mean_pfx_z,24,-0.0102,0.00406,-0.0184,-0.0028
base,CH,mean_pfx_z,28,-0.0068,0.00334,-0.0134,-0.0004
base,CH,mean_pfx_z,32,-0.0033,0.00334,-0.0102,0.0027
base,CH,mean_pfx_z,36,0.0001,0.00407,-0.0078,0.0081
base,FC,mean_pfx_z,24,0.0186,0.00486,0.0089,0.0279
base,FC,mean_pfx_z,28,0.015,0.00328,0.0085,0.0214
base,FC,mean_pfx_z,32,0.0114,0.00291,0.0057,0.0171
base,FC,mean_pfx_z,36,0.0077,0.0041,-0.0,0.0158
base,FF,mean_pfx_z,24,0.0023,0.00167,-0.0009,0.0056
base,FF,mean_pfx_z,28,0.0005,0.0013,-0.002,0.0031
base,FF,mean_pfx_z,32,-0.0013,0.00134,-0.004,0.0013
base,FF,mean_pfx_z,36,-0.0031,0.00175,-0.0064,0.0003
base,SI,mean_pfx_z,24,0.0064,0.00376,-0.0013,0.0135
base,SI,mean_pfx_z,28,0.0014,0.0032,-0.005,0.0075
base,SI,mean_pfx_z,32,-0.0037,0.00322,-0.0098,0.0027
base,SI,mean_pfx_z,36,-0.0087,0.0038,-0.0162,-0.0013
base,SL,mean_pfx_z,24,0.0088,0.0022,0.0045,0.013
base,SL,mean_pfx_z,28,0.0088,0.0022,0.0045,0.013
base,SL,mean_pfx_z,32,0.0088,0.0022,0.0045,0.013
base,SL,mean_pfx_z,36,0.0088,0.0022,0.0045,0.013
base,CH,mean_spin_axis,24,0.0719,0.30745,-0.4977,0.7096
base,CH,mean_spin_axis,28,-0.148,0.27766,-0.6762,0.4061
base,CH,mean_spin_axis,32,-0.3679,0.27773,-0.9149,0.1689
base,CH,mean_spin_axis,36,-0.5878,0.30763,-1.1659,0.0294
base,FC,mean_spin_axis,24,-0.0131,0.54192,-1.0442,1.086
base,FC,mean_spin_axis,28,0.544,0.3783,-0.2147,1.2792
base,FC,mean_spin_axis,32,1.1011,0.33617,0.4327,1.7234
base,FC,mean_spin_axis,36,1.6582,0.45098,0.7861,2.5525
base,FF,mean_spin_axis,24,0.3936,0.17203,0.0705,0.7427
base,FF,mean_spin_axis,28,0.5242,0.15522,0.2181,0.8167
base,FF,mean_spin_axis,32,0.6548,0.15851,0.3458,0.9528
base,FF,mean_spin_axis,36,0.7854,0.1808,0.4331,1.1323
base,SI,mean_spin_axis,24,-1.3928,0.39166,-2.1761,-0.6423
base,SI,mean_spin_axis,28,-1.2841,0.37372,-2.0694,-0.6041
base,SI,mean_spin_axis,32,-1.1754,0.37209,-1.8973,-0.4332
base,SI,mean_spin_axis,36,-1.0667,0.38696,-1.8618,-0.3439
base,CH,mean_spin_rate,24,1.8045,2.131,-2.2865,6.0598
base,CH,mean_spin_rate,28,-2.2616,1.5801,-5.4161,0.8709
base,CH,mean_spin_rate,32,-6.3277,1.6404,-9.4156,-2.9466
base,CH,mean_spin_rate,36,-10.3937,2.26356,-14.9733,-6.1131
base,CU,mean_spin_rate,24,11.4049,3.45729,4.7576,18.4279
base,CU,mean_spin_rate,28,5.7363,2.91792,0.1316,11.6046
base,CU,mean_spin_rate,32,0.0676,2.93471,-5.5305,5.8942
base,CU,mean_spin_rate,36,-5.601,3.49968,-12.073,1.6922
base,FC,mean_spin_rate,24,3.8141,2.92804,-2.0341,9.4313
