experiment,pitch_type,outcome,eval_age,rate_mean,rate_sd,hdi_lo,hdi_hi
with_ext,CH,mean_pfx_x,24,-0.0167,0.00441,-0.0255,-0.0081
with_ext,CH,mean_pfx_x,28,-0.0129,0.00406,-0.0208,-0.0046
with_ext,CH,mean_pfx_x,32,-0.0091,0.0041,-0.0169,-0.0006
with_ext,CH,mean_pfx_x,36,-0.0053,0.00453,-0.0141,0.0038
with_ext,FF,mean_pfx_x,24,-0.0071,0.00297,-0.0133,-0.0016
with_ext,FF,mean_pfx_x,28,-0.0071,0.00297,-0.0133,-0.0016
with_ext,FF,mean_pfx_x,32,-0.0071,0.00297,-0.0133,-0.0016
with_ext,FF,mean_pfx_x,36,-0.0071,0.00297,-0.0133,-0.0016
with_ext,SL,mean_pfx_x,24,-0.0068,0.00388,-0.0143,0.0009
with_ext,SL,mean_pfx_x,28,-0.0036,0.00339,-0.0102,0.0029
with_ext,SL,mean_pfx_x,32,-0.0004,0.00343,-0.0071,0.0062
with_ext,SL,mean_pfx_x,36,0.0027,0.00397,-0.0053,0.0101
with_ext,CH,mean_pfx_x_norm,24,-0.0059,0.00309,-0.012,0.0001
with_ext,CH,mean_pfx_x_norm,28,-0.0008,0.0024,-0.0053,0.004
with_ext,CH,mean_pfx_x_norm,32,0.0043,0.00236,-0.0001,0.0091
with_ext,CH,mean_pfx_x_norm,36,0.0094,0.00299,0.0036,0.0153
with_ext,FC,mean_pfx_x_norm,24,-0.0034,0.00385,-0.0108,0.0041
with_ext,FC,mean_pfx_x_norm,28,-0.006,0.00246,-0.0109,-0.0013
with_ext,FC,mean_pfx_x_norm,32,-0.0085,0.00215,-0.0126,-0.0043
with_ext,FC,mean_pfx_x_norm,36,-0.011,0.00325,-0.0175,-0.0047
with_ext,CH,mean_pfx_z,24,-0.0097,0.00399,-0.0175,-0.0019
with_ext,CH,mean_pfx_z,28,-0.0061,0.00325,-0.0124,0.0004
with_ext,CH,mean_pfx_z,32,-0.0026,0.00324,-0.0086,0.0042
with_ext,CH,mean_pfx_z,36,0.001,0.00397,-0.007,0.0085
with_ext,FC,mean_pfx_z,24,0.0122,0.00294,0.0063,0.018
with_ext,FC,mean_pfx_z,28,0.0122,0.00294,0.0063,0.018
with_ext,FC,mean_pfx_z,32,0.0122,0.00294,0.0063,0.018
with_ext,FC,mean_pfx_z,36,0.0122,0.00294,0.0063,0.018
with_ext,FF,mean_pfx_z,24,0.0023,0.00171,-0.0009,0.0057
with_ext,FF,mean_pfx_z,28,0.0005,0.00135,-0.0021,0.0031
with_ext,FF,mean_pfx_z,32,-0.0013,0.00138,-0.004,0.0014
with_ext,FF,mean_pfx_z,36,-0.0031,0.00179,-0.0066,0.0003
with_ext,SI,mean_pfx_z,24,0.0071,0.00386,-0.0002,0.0146
with_ext,SI,mean_pfx_z,28,0.002,0.0033,-0.0043,0.0084
with_ext,SI,mean_pfx_z,32,-0.003,0.00326,-0.0089,0.0035
with_ext,SI,mean_pfx_z,36,-0.0081,0.00376,-0.015,-0.0005
with_ext,SL,mean_pfx_z,24,0.0073,0.00342,0.0006,0.0139
with_ext,SL,mean_pfx_z,28,0.0089,0.00242,0.0042,0.0137
with_ext,SL,mean_pfx_z,32,0.0106,0.0025,0.0057,0.0156
with_ext,SL,mean_pfx_z,36,0.0122,0.0036,0.005,0.0192
with_ext,CH,mean_spin_axis,24,0.0407,0.33059,-0.6065,0.727
with_ext,CH,mean_spin_axis,28,-0.1646,0.30221,-0.7595,0.4452
with_ext,CH,mean_spin_axis,32,-0.37,0.30212,-0.9837,0.2003
with_ext,CH,mean_spin_axis,36,-0.5754,0.33035,-1.2312,0.0726
with_ext,FC,mean_spin_axis,24,-0.0359,0.53639,-1.0913,0.9926
with_ext,FC,mean_spin_axis,28,0.5259,0.37316,-0.2057,1.2549
with_ext,FC,mean_spin_axis,32,1.0877,0.33366,0.4309,1.7398
with_ext,FC,mean_spin_axis,36,1.6495,0.4516,0.7456,2.5034
with_ext,FF,mean_spin_axis,24,0.4209,0.1903,0.0384,0.7924
with_ext,FF,mean_spin_axis,28,0.5412,0.17516,0.1809,0.8732
with_ext,FF,mean_spin_axis,32,0.6616,0.17775,0.3091,1.0042
with_ext,FF,mean_spin_axis,36,0.7819,0.19737,0.3859,1.1563
with_ext,SI,mean_spin_axis,24,-1.1155,0.35397,-1.796,-0.4498
with_ext,SI,mean_spin_axis,28,-1.1155,0.35397,-1.796,-0.4498
with_ext,SI,mean_spin_axis,32,-1.1155,0.35397,-1.796,-0.4498
with_ext,SI,mean_spin_axis,36,-1.1155,0.35397,-1.796,-0.4498
with_ext,CH,mean_spin_rate,24,2.0663,2.12325,-2.076,6.2306
with_ext,CH,mean_spin_rate,28,-2.1459,1.55081,-5.1021,0.9383
with_ext,CH,mean_spin_rate,32,-6.358,1.60974,-9.5937,-3.2206
with_ext,CH,mean_spin_rate,36,-10.5701,2.25098,-14.9462,-6.1056
with_ext,CU,mean_spin_rate,24,11.6328,3.56213,4.8143,18.6334
with_ext,CU,mean_spin_rate,28,6.024,3.04077,0.0795,11.8974
with_ext,CU,mean_spin_rate,32,0.4152,3.04916,-5.3848,6.3896
with_ext,CU,mean_spin_rate,36,-5.1936,3.58358,-11.8019,2.1249
with_ext,FC,mean_spin_rate,24,3.8615,3.15939,-2.0731,10.2177
with_ext,FC,mean_spin_rate,28,0.7302,2.58456,-4.4246,5.6524
with_ext,FC,mean_spin_rate,32,-2.401,2.4574,-7.1096,2.2602
with_ext,FC,mean_spin_rate,36,-5.5323,2.83873,-11.0895,-0.2121
with_ext,FF,mean_spin_rate,24,6.6793,1.15806,4.3496,8.8616
with_ext,FF,mean_spin_rate,28,2.1026,0.88232,0.3785,3.8149
with_ext,FF,mean_spin_rate,32,-2.474,0.90727,-4.3838,-0.788
with_ext,FF,mean_spin_rate,36,-7.0507,1.2145,-9.4088,-4.6243
with_ext,SI,mean_spin_rate,24,5.3625,1.50256,2.406,8.2922
with_ext,SI,mean_spin_rate,28,1.8346,1.11022,-0.4485,3.9202
with_ext,SI,mean_spin_rate,32,-1.6934,1.09334,-3.8631,0.4239
with_ext,SI,mean_spin_rate,36,-5.2214,1.46496,-8.2472,-2.5058
with_ext,SL,mean_spin_rate,24,9.2845,2.27092,5.0349,13.7977
with_ext,SL,mean_spin_rate,28,3.5355,1.7826,0.0203,6.9661
with_ext,SL,mean_spin_rate,32,-2.2135,1.79926,-5.8609,1.2426
with_ext,SL,mean_spin_rate,36,-7.9624,2.30998,-12.6325,-3.5152
with_ext,CH,mean_velo,24,0.1162,0.04816,0.0221,0.2016
with_ext,CH,mean_velo,28,-0.0249,0.04263,-0.1082,0.0422
with_ext,CH,mean_velo,32,-0.1661,0.04137,-0.2464,-0.0987
with_ext,CH,mean_velo,36,-0.3072,0.04474,-0.3987,-0.2299
with_ext,CU,mean_velo,24,0.0838,0.04182,-0.0003,0.1619
with_ext,CU,mean_velo,28,-0.0495,0.03528,-0.121,0.0166
with_ext,CU,mean_velo,32,-0.1827,0.03556,-0.252,-0.1146
with_ext,CU,mean_velo,36,-0.316,0.04253,-0.3981,-0.2318
with_ext,FC,mean_velo,24,0.0375,0.04034,-0.0398,0.1184
with_ext,FC,mean_velo,28,-0.0384,0.02858,-0.0932,0.0193
with_ext,FC,mean_velo,32,-0.1143,0.02609,-0.1641,-0.0626
with_ext,FC,mean_velo,36,-0.1902,0.03491,-0.259,-0.1218
with_ext,FF,mean_velo,24,-0.0602,0.02007,-0.0979,-0.0197
with_ext,FF,mean_velo,28,-0.1519,0.01671,-0.1837,-0.1189
with_ext,FF,mean_velo,32,-0.2436,0.01688,-0.277,-0.2122
with_ext,FF,mean_velo,36,-0.3353,0.02049,-0.3751,-0.2952
with_ext,SI,mean_velo,24,-0.1106,0.02843,-0.1648,-0.0529
with_ext,SI,mean_velo,28,-0.1859,0.02395,-0.2335,-0.1396
with_ext,SI,mean_velo,32,-0.2613,0.02355,-0.3073,-0.2136
with_ext,SI,mean_velo,36,-0.3367,0.02742,-0.39,-0.2817
with_ext,SL,mean_velo,24,0.0379,0.02898,-0.0171,0.0967
with_ext,SL,mean_velo,28,-0.0637,0.02056,-0.1033,-0.0229
