experiment,pitch_type,outcome,peak_age,hdi_lo,hdi_hi,pct_b2_negative
base,CH,mean_pfx_x,,,,0.00175
base,FF,mean_pfx_x,,,,0.234125
base,SL,mean_pfx_x,,,,0.00825
base,CH,mean_pfx_x_norm,,,,0.0
base,FC,mean_pfx_x_norm,23.031,15.78,27.965,0.919
base,CH,mean_pfx_z,,,,0.019125
base,FC,mean_pfx_z,41.51,35.909,49.5,0.9447
base,FF,mean_pfx_z,29.213,21.04,36.508,0.9918
base,SI,mean_pfx_z,29.334,23.407,34.934,0.9999
base,SL,mean_pfx_z,,,,
base,CH,mean_spin_rate,25.837,20.728,28.938,1.0
base,CU,mean_spin_rate,32.014,27.846,36.72,1.0
base,FC,mean_spin_rate,28.698,20.702,34.697,0.9968
base,FF,mean_spin_rate,29.993,28.539,31.535,1.0
base,SI,mean_spin_rate,30.114,27.525,32.663,1.0
base,SL,mean_spin_rate,31.405,28.571,34.329,1.0
base,CH,mean_velo,26.465,24.146,29.098,1.0
base,CU,mean_velo,26.648,23.805,29.131,1.0
base,FC,mean_velo,26.872,22.637,29.983,1.0
base,FF,mean_velo,21.284,19.168,23.267,1.0
base,SI,mean_velo,18.372,15.098,21.137,1.0
base,SL,mean_velo,25.792,23.428,27.836,1.0
