experiment,pitch_type,outcome,peak_age,hdi_lo,hdi_hi,pct_b2_negative
with_ext,FF,mean_pfx_x,,,,0.217875
with_ext,SL,mean_pfx_x,,,,0.01275
with_ext,CH,mean_pfx_x_norm,,,,0.000125
with_ext,FC,mean_pfx_x_norm,22.53,15.435,27.577,0.906
with_ext,CH,mean_pfx_z,,,,0.01675
with_ext,FC,mean_pfx_z,41.484,35.736,49.552,0.9414
with_ext,FF,mean_pfx_z,29.167,21.339,36.001,0.9931
with_ext,SI,mean_pfx_z,29.666,23.368,35.323,0.9999
with_ext,SL,mean_pfx_z,,,,0.1845
with_ext,CH,mean_spin_rate,26.277,21.998,29.268,0.9998
with_ext,CU,mean_spin_rate,31.966,27.346,36.879,0.9999
with_ext,FC,mean_spin_rate,28.96,21.254,35.745,0.9965
with_ext,FF,mean_spin_rate,29.935,28.452,31.56,1.0
with_ext,SI,mean_spin_rate,30.061,27.421,32.415,1.0
with_ext,SL,mean_spin_rate,30.563,28.045,33.322,1.0
with_ext,CH,mean_velo,27.414,25.131,29.29,1.0
with_ext,CU,mean_velo,26.698,24.2,28.598,1.0
with_ext,FC,mean_velo,26.146,21.629,29.233,1.0
with_ext,FF,mean_velo,21.436,19.306,23.444,1.0
with_ext,SI,mean_velo,18.714,15.037,21.385,1.0
with_ext,SL,mean_velo,25.593,23.277,27.397,1.0
