pitch_type,outcome,significant,peak_age,b1_significant,b2_significant,is_linear_model,n_obs,n_groups,peak_ci_lo,peak_ci_hi,decline_at_28,decline_ci_lo,decline_ci_hi
FF,mean_pfx_x,True,,True,False,False,4857,,,,-0.0072,-0.0132,-0.0013
FF,mean_pfx_z,True,29.061,False,True,False,4857,,22.074,36.287,0.0005,-0.002,0.0031
FF,mean_spin_axis,True,,True,True,False,4372,,,,0.5242,0.2181,0.8167
FF,mean_spin_rate,True,29.907,False,True,False,4857,,28.334,31.386,2.1646,0.4142,3.8805
FF,mean_velo,True,21.118,True,True,False,4857,,19.075,23.075,-0.1583,-0.1881,-0.1257
SL,mean_pfx_x,True,,False,True,False,3196,,,,-0.0042,-0.0112,0.0029
SL,mean_pfx_z,True,,True,False,True,3196,,,,0.0088,0.0045,0.013
SL,mean_spin_rate,True,31.287,False,True,False,3196,,28.145,33.959,4.3203,0.5973,8.0531
SL,mean_velo,True,25.576,True,True,False,3196,,23.267,27.606,-0.0613,-0.1104,-0.0132
SI,mean_pfx_z,True,29.028,False,True,False,2898,,22.899,34.672,0.0014,-0.005,0.0075
SI,mean_spin_axis,True,,True,False,False,2578,,,,-1.2841,-2.0694,-0.6041
SI,mean_spin_rate,True,30.064,False,True,False,2898,,27.429,32.516,1.8205,-0.3624,4.0622
SI,mean_velo,True,18.227,True,True,False,2898,,15.031,20.922,-0.1915,-0.2375,-0.1447
CH,mean_pfx_x,True,,True,True,False,2520,,,,-0.0129,-0.022,-0.0033
CH,mean_pfx_x_norm,True,,False,True,False,2520,,,,-0.0014,-0.0061,0.0031
CH,mean_pfx_z,True,,False,True,False,2520,,,,-0.0068,-0.0134,-0.0004
CH,mean_spin_axis,True,25.739,False,True,False,2256,,15.133,34.579,-0.148,-0.6762,0.4061
CH,mean_spin_rate,True,25.517,True,True,False,2520,,21.238,29.017,-2.2616,-5.4161,0.8709
CH,mean_velo,True,26.06,True,True,False,2520,,23.55,28.388,-0.0668,-0.1478,0.0093
CU,mean_spin_rate,True,32.192,False,True,False,1726,,27.72,37.014,5.7363,0.1316,11.6046
CU,mean_velo,True,26.591,False,True,False,1726,,24.019,29.11,-0.0448,-0.1246,0.0361
FC,mean_pfx_x_norm,True,,True,False,True,1226,,,,-0.0071,-0.0115,-0.0033
FC,mean_pfx_z,True,41.742,True,False,False,1226,,35.729,49.288,0.015,0.0085,0.0214
FC,mean_spin_axis,True,,False,True,False,1139,,,,0.544,-0.2147,1.2792
FC,mean_spin_rate,True,28.772,False,True,False,1226,,21.09,35.01,0.7282,-4.0129,4.9776
FC,mean_velo,True,26.506,False,True,False,1226,,22.625,29.959,-0.0239,-0.086,0.0317
