pitch_type,outcome,base_peak_age,base_ci_lo,base_ci_hi,ext_peak_age,ext_ci_lo,ext_ci_hi
FF,mean_pfx_x,,,,,,
FF,mean_pfx_z,29.213,21.04,36.508,29.167,21.339,36.001
FF,mean_spin_rate,29.993,28.539,31.535,29.935,28.452,31.56
FF,mean_velo,21.284,19.168,23.267,21.436,19.306,23.444
SL,mean_pfx_x,,,,,,
SL,mean_pfx_z,,,,,,
SL,mean_spin_rate,31.405,28.571,34.329,30.563,28.045,33.322
SL,mean_velo,25.792,23.428,27.836,25.593,23.277,27.397
SI,mean_pfx_z,29.334,23.407,34.934,29.666,23.368,35.323
SI,mean_spin_rate,30.114,27.525,32.663,30.061,27.421,32.415
SI,mean_velo,18.372,15.098,21.137,18.714,15.037,21.385
CH,mean_pfx_x,,,,,,
CH,mean_pfx_x_norm,,,,,,
CH,mean_pfx_z,,,,,,
CH,mean_spin_rate,25.837,20.728,28.938,26.277,21.998,29.268
CH,mean_velo,26.465,24.146,29.098,27.414,25.131,29.29
CU,mean_spin_rate,32.014,27.846,36.72,31.966,27.346,36.879
CU,mean_velo,26.648,23.805,29.131,26.698,24.2,28.598
FC,mean_pfx_x_norm,23.031,15.78,27.965,22.53,15.435,27.577
FC,mean_pfx_z,41.51,35.909,49.5,41.484,35.736,49.552
FC,mean_spin_rate,28.698,20.702,34.697,28.96,21.254,35.745
FC,mean_velo,26.872,22.637,29.983,26.146,21.629,29.233
