experiment,pitch_type,outcome,eval_age,rate,rate_sd,ci_lo,ci_hi
base,FF,mean_pfx_x,24,-0.0084,0.00347,-0.0151,-0.0015
base,FF,mean_pfx_x,28,-0.0076,0.00309,-0.0135,-0.0012
base,FF,mean_pfx_x,32,-0.0067,0.00311,-0.0126,-0.0002
base,FF,mean_pfx_x,36,-0.0059,0.00352,-0.0124,0.0014
base,FF,mean_pfx_z,24,0.0024,0.00173,-0.0011,0.0056
base,FF,mean_pfx_z,28,0.0005,0.00137,-0.0022,0.0031
base,FF,mean_pfx_z,32,-0.0013,0.00139,-0.0039,0.0014
base,FF,mean_pfx_z,36,-0.0032,0.00178,-0.0067,0.0003
base,FF,mean_spin_rate,24,6.7972,1.1506,4.5447,9.0313
base,FF,mean_spin_rate,28,2.2516,0.86867,0.5793,4.021
base,FF,mean_spin_rate,32,-2.2941,0.88815,-4.0354,-0.5371
base,FF,mean_spin_rate,36,-6.8398,1.19439,-9.1,-4.4643
base,FF,mean_velo,24,-0.0629,0.02039,-0.1025,-0.0226
base,FF,mean_velo,28,-0.1561,0.01685,-0.1907,-0.1238
base,FF,mean_velo,32,-0.2492,0.0169,-0.2824,-0.2158
base,FF,mean_velo,36,-0.3424,0.02052,-0.3829,-0.3024
base,SL,mean_pfx_x,24,-0.0073,0.00408,-0.0154,0.0004
base,SL,mean_pfx_x,28,-0.004,0.00361,-0.0111,0.0031
base,SL,mean_pfx_x,32,-0.0008,0.00363,-0.0082,0.006
base,SL,mean_pfx_x,36,0.0025,0.00411,-0.0053,0.0107
base,SL,mean_pfx_z,24,0.0088,0.00216,0.0048,0.0132
base,SL,mean_pfx_z,28,0.0088,0.00216,0.0048,0.0132
base,SL,mean_pfx_z,32,0.0088,0.00216,0.0048,0.0132
base,SL,mean_pfx_z,36,0.0088,0.00216,0.0048,0.0132
base,SL,mean_spin_rate,24,9.7828,2.34886,5.0666,14.1763
base,SL,mean_spin_rate,28,4.46,1.87432,0.7406,7.9199
base,SL,mean_spin_rate,32,-0.8627,1.88033,-4.6015,2.6515
base,SL,mean_spin_rate,36,-6.1855,2.36323,-10.8415,-1.5815
base,SL,mean_velo,24,0.0466,0.03277,-0.0189,0.1089
base,SL,mean_velo,28,-0.058,0.02526,-0.1094,-0.0107
base,SL,mean_velo,32,-0.1625,0.02531,-0.2118,-0.1123
base,SL,mean_velo,36,-0.267,0.03289,-0.3337,-0.2054
base,SI,mean_pfx_z,24,0.0067,0.00384,-0.0008,0.0142
base,SI,mean_pfx_z,28,0.0017,0.00324,-0.0043,0.0083
base,SI,mean_pfx_z,32,-0.0034,0.00319,-0.0094,0.003
base,SI,mean_pfx_z,36,-0.0084,0.00371,-0.0159,-0.0015
base,SI,mean_spin_rate,24,5.3468,1.53553,2.2663,8.298
base,SI,mean_spin_rate,28,1.8223,1.14555,-0.434,4.001
base,SI,mean_spin_rate,32,-1.7022,1.11962,-3.8365,0.5432
base,SI,mean_spin_rate,36,-5.2267,1.47705,-8.1582,-2.38
base,SI,mean_velo,24,-0.1132,0.02891,-0.1686,-0.0564
base,SI,mean_velo,28,-0.1894,0.02436,-0.2332,-0.1384
base,SI,mean_velo,32,-0.2656,0.02386,-0.3137,-0.2214
base,SI,mean_velo,36,-0.3418,0.02761,-0.3976,-0.2907
base,CH,mean_pfx_x,24,-0.0168,0.00512,-0.0268,-0.007
base,CH,mean_pfx_x,28,-0.013,0.00479,-0.0223,-0.0036
base,CH,mean_pfx_x,32,-0.0091,0.00479,-0.018,0.0009
base,CH,mean_pfx_x,36,-0.0053,0.00514,-0.0151,0.0052
base,CH,mean_pfx_x_norm,24,-0.0064,0.00292,-0.012,-0.0007
base,CH,mean_pfx_x_norm,28,-0.0014,0.00223,-0.0058,0.0028
base,CH,mean_pfx_x_norm,32,0.0037,0.00218,-0.0004,0.008
base,CH,mean_pfx_x_norm,36,0.0087,0.00282,0.003,0.0141
base,CH,mean_pfx_z,24,-0.0099,0.00421,-0.0186,-0.0021
base,CH,mean_pfx_z,28,-0.0065,0.00346,-0.0134,0.0001
base,CH,mean_pfx_z,32,-0.003,0.00343,-0.0095,0.004
base,CH,mean_pfx_z,36,0.0004,0.00415,-0.0081,0.0082
base,CH,mean_spin_rate,24,1.7842,2.19148,-2.4692,6.1641
base,CH,mean_spin_rate,28,-2.2513,1.59445,-5.3546,0.8485
base,CH,mean_spin_rate,32,-6.2868,1.6023,-9.4418,-3.1632
base,CH,mean_spin_rate,36,-10.3223,2.2086,-14.8237,-6.0285
base,CH,mean_velo,24,0.0893,0.04856,-0.0074,0.1804
base,CH,mean_velo,28,-0.0521,0.04336,-0.1258,0.0392
base,CH,mean_velo,32,-0.1936,0.04212,-0.2653,-0.1051
base,CH,mean_velo,36,-0.335,0.04517,-0.4183,-0.2467
base,CU,mean_spin_rate,24,11.2729,3.44553,4.6669,17.9207
base,CU,mean_spin_rate,28,5.6144,2.87484,0.1909,11.2068
base,CU,mean_spin_rate,32,-0.0441,2.86478,-5.732,5.358
base,CU,mean_spin_rate,36,-5.7025,3.4203,-12.4016,1.0837
base,CU,mean_velo,24,0.0852,0.05001,-0.0172,0.1763
base,CU,mean_velo,28,-0.0465,0.04451,-0.1347,0.0327
base,CU,mean_velo,32,-0.1783,0.04492,-0.265,-0.0974
base,CU,mean_velo,36,-0.31,0.0511,-0.4114,-0.2163
base,FC,mean_pfx_x_norm,24,-0.0024,0.00387,-0.0099,0.0053
base,FC,mean_pfx_x_norm,28,-0.0051,0.00244,-0.0099,-0.0003
base,FC,mean_pfx_x_norm,32,-0.0079,0.00215,-0.012,-0.0035
base,FC,mean_pfx_x_norm,36,-0.0106,0.00331,-0.0172,-0.0042
base,FC,mean_pfx_z,24,0.0189,0.00498,0.0094,0.0287
base,FC,mean_pfx_z,28,0.0153,0.0034,0.0087,0.0219
base,FC,mean_pfx_z,32,0.0116,0.00298,0.0059,0.0175
base,FC,mean_pfx_z,36,0.0079,0.0041,0.0,0.0161
base,FC,mean_spin_rate,24,3.4743,2.95395,-2.2062,9.3244
base,FC,mean_spin_rate,28,0.4083,2.34443,-4.1858,5.0326
base,FC,mean_spin_rate,32,-2.6576,2.22469,-7.1576,1.5468
base,FC,mean_spin_rate,36,-5.7236,2.66167,-11.0581,-0.7028
base,FC,mean_velo,24,0.0559,0.04208,-0.0252,0.1395
base,FC,mean_velo,28,-0.0217,0.0301,-0.0805,0.0373
base,FC,mean_velo,32,-0.0994,0.02746,-0.1566,-0.0489
base,FC,mean_velo,36,-0.1771,0.03625,-0.2485,-0.1067
